,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
85,Direct Sales Executive,Eduauraa Technologies Private Limited,"Mumbai, Rajasthan, Madhya Pradesh, Delhi, Bangalore",Starts Immediately,"₹ 2,00,000 - 9,00,000",1-5 years,Today,Job
86,Business Manager,Espangle Consulting,Gurgaon,Starts Immediately,"₹ 4,80,000 - 7,50,000",0-5 years,1 day ago,Job
87,Human Resources (HR) Executive,Flutch Technology Private Limited,Bangalore,Starts Immediately,"₹ 2,60,000 - 3,50,000",0-2 years,Today,Job
88,E-Commerce Marketing Executive,Allo Innoware,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,Today,Job
89,Graphic Designer,Blue Rose Publishers,"Noida, Delhi",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,Job
90,Associate Product Manager,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 6,00,000 - 8,00,000",1-3 years,1 day ago,Job
91,Sales Development Representative,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-2 years,1 day ago,Job
92,E-Commerce Manager,Daily Flowers India Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,Job
93,Assistant Customer Relationship Manager,AKK Corporation,"Chandigarh, Gurgaon, Noida",Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,Today,Job
94,Client Service Manager,Gobabygo (OPC) Private Limited,"Noida, Delhi",Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,Today,Job
95,UI/UX Designer,Espangle Consulting,Gurgaon,Starts Immediately,"₹ 4,80,000 - 6,50,000",0-5 years,1 day ago,Job
96,Accountant,Guruji Astro,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,1 day ago,Job
97,Product / Graphic Designer,Kove Design Studio,Noida,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,3 weeks ago,"Job


Part time"
98,Corporate Sales Manager,Espangle Consulting,Gurgaon,Starts Immediately,"₹ 4,80,000 - 6,50,000",0-5 years,1 day ago,Job
99,Business Development Associate,SkilloVilla Technologies Private Limited,Bangalore,Starts Immediately,"₹ 9,00,000",0-3 years,Today,Job
100,Startup And Venture Capital Research Analyst,India Startup Foundation,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",1 year,Today,Job
101,Anchor,QuadB Tech,Ludhiana,Starts Immediately,"₹ 2,00,000",0-2 years,3 days ago,Job
102,Video Editor,QuadB Tech,Ludiana,Starts Immediately,"₹ 2,00,000",0-2 years,3 days ago,Job
103,Client Relationship Manager,APSK Production & Entertainment Private Limited,Agra,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-3 years,3 days ago,Job
104,Digital Marketing Executive,QuadB Tech,Ludhiana,Starts Immediately,"₹ 2,00,000",0-2 years,3 days ago,Job
105,Technical Writer,TheCoinRepublic,"Indore, Bhopal",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 day ago,Job
106,Content Writer,TheCoinRepublic,"Indore, Bhopal",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 day ago,Job
107,Senior Content Writer,SkillGenic Academy,Indore,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,1 day ago,Job
108,Community Manager For Education Brand,MarkAce Marketing Private Limited,"Chandigarh, Mohali",Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
109,Executive Assistant To Director,M/S Vigyan Lime & Chemicals,Dehradun,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,2 days ago,Job
110,Graphic Designer,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 2,00,000 - 4,00,000",1-3 years,1 day ago,Job
111,Digital Marketing Manager,SkillGenic Academy,Indore,Starts Immediately,"₹ 3,00,000 - 4,80,000",0-2 years,2 days ago,Job
112,Associate Content Developer (English),UFaber Edutech,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,2 weeks ago,Job
113,Sales & Marketing Trainee,Eduauraa Technologies Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-5 years,1 day ago,Job
114,Content Writer,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 2,00,000 - 4,00,000",1-4 years,1 day ago,Job
115,Administration Executive,Mapula Chemicals Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,Job
116,Corporate Sales Manager,Kanakaveda Private Limited,Mumbai,Starts Immediately,"₹ 5,00,000 - 5,50,000",2-5 years,2 days ago,Job
117,Inside Sales Executive,UFaber Edutech,"Mumbai, Kurla",Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,Job
118,Video Editor,Shantanu Chaudhary,Ghaziabad,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 day ago,Job
119,Business Development Executive,Ispecia Technologies Private Limited,"Noida, Ghaziabad, Delhi",Starts Immediately,"₹ 2,00,000",0-2 years,2 days ago,Job
120,Stock Market Trader,TheCoinRepublic,"Bhopal, Indore",Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 day ago,Job
121,Corporate Sales Executive,Rishta Depot,Delhi,Starts Immediately,"₹ 2,00,000 - 4,20,000",0-2 years,1 day ago,Job
122,Associate Telecaller,UFaber Edutech,"Mumbai, Kurla",Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,Job
123,Education Counselor,UFaber Edutech,"Mumbai, Kurla",Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,Job
124,Business Development Associate,UFaber Edutech,Noida,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,Job
125,Audit Associate,DonePull,Mumbai,Starts Immediately,"₹ 2,00,000",0-3 years,1 day ago,Job
126,Junior Search Engine Optimization (SEO) Associate,UFaber Edutech,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,2 weeks ago,Job
127,Market Analyst,TheCoinRepublic,"Indore, Bhopal",Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 day ago,Job
128,Sales Development Representative,Qrata,Mumbai,Starts Immediately,"₹ 5,00,000 - 8,00,000",0-5 years,2 days ago,Job
129,SME- PCM/Eco/CSE ( Rotational Shift),CloudBird Digital Private Limited,Noida,Starts Immediately,"₹ 2,00,000",0-2 years,2 days ago,Job
130,Content Writer,LetsDressUp,Gurgaon,Starts Immediately,"₹ 2,16,000 - 2,64,000",0-2 years,2 days ago,Job
131,Equity Analyst,TheCoinRepublic,"Bhopal, Indore",Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 day ago,Job
132,International Business Development Manager,RECRUIT WORLD PRIVATE LIMITED,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
133,Sociology Faculty (UGC- NET),Unimonks,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,Job
134,Paid Media Associate,IIDE Education Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,2 days ago,Job
135,Telecaller,Shemrock & Shemford Group Of Schools,"Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,2 days ago,Job
136,Digital Marketing Manager,Intech Computers,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
137,Education Counselor,UFaber Edutech,Kolkata,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,Job
138,Content Developer,Careers360,"Noida, Delhi, Gurgaon",Starts Immediately,"₹ 2,50,000 - 4,00,000",0-1 years,2 days ago,Job
139,Junior Social Media Marketing Executive,Think EBikeGO Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 day ago,Job
140,English Teacher,UFaber Edutech,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,Job
141,Lead Generation Specialist,Pregrad,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 day ago,Job
142,Growth Development Associate,YourDOST Health Solutions,Bangalore,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 days ago,Job
143,Insurance Sales Specialist,Agni Rural Welfare Society,"New Town, Kolkata",Starts Immediately,"₹ 2,40,000 - 5,04,000",0-5 years,1 week ago,Job
144,Business Development Associate,Pregrad,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 day ago,Job
145,Pre Sales Executive,Able Jobs,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
146,Research And Development,Synnat Pharma Private Limited,Vishakhapatnam,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,2 days ago,Job
147,Business Development Associate,Able Jobs,Bangalore,Starts Immediately,"₹ 5,00,000 - 8,00,000",1-4 years,2 days ago,Job
148,Business Development Associate,ActiveLoc,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 day ago,Job
149,Business Development Associate,The Skillians,"Delhi, Gurgaon, Noida",Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 day ago,Job
150,Business Development Executive,UFaber Edutech,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,Job
